Ingredient,Count
eggs,157
sugar,155
vanilla,154
butter,152
baking soda,151
flour,147
brown sugar,104
nuts,96
chocolate chips,53
raisins,21
cinnamon,18
buttermilk,18
peanut butter,18
cocoa,16
shortening,11
walnuts,10
oats,10
bananas,9
oatmeal,9
milk,9
semi-sweet chocolate chips,9
flaked coconut,8
pineapple,8
rolled oats,8
baking powder,7
bran,7
dates,6
vanilla instant pudding,6
powdered sugar,6
milky,6
instant vanilla pudding,5
cream cheese,5
sour cream,5
water,5
coconut,4
all-purpose,4
lemon juice,4
zucchini,3
chocolate,3
chocolate pudding,3
cherries,3
nutmeg,3
light brown sugar,3
confectioners sugar,3
boiling water,3
cream of tartar,3
strawberry preserves,2
molasses,2
applesauce,2
cooking oats,2
white sugar,2
margarine,2
chocolate syrup,2
unsweetened cocoa,2
sweet potatoes,2
syrup,2
sour milk,2
vegetable shortening,2
apples,2
vanilla pudding,2
allspice,2
vanilla instant pudding mix,2
caramels,1
preserves,1
ground ginger,1
chocolate pieces,1
fresh cranberries,1
ground nutmeg,1
banana,1
blackberry jam,1
tomatoes,1
mix,1
cold,1
kahlua,1
karo syrup,1
cereal,1
vegetable oil,1
lemon,1
chunky peanut butter,1
cool whip,1
wesson oil,1
kisses,1
coca-cola,1
black walnuts,1
cooking oil,1
cola,1
instant vanilla pudding mix,1
chocolate chip cookies,1
your favorite,1
vanilla flavoring,1
chocolate morsels,1
marshmallows,1
old-fashioned,1
cake,1
lemon peel,1
snickers,1
cream cheese icing,1
semi-sweet chocolate morsels,1
vanilla extract,1
butter chips,1
pecan,1
chocolate wafers,1
brandy,1
mixed candied fruit,1
coconut flavor,1
pastry shell,1
colored sugar,1
ground cinnamon,1
cold mashed potatoes,1
mini-marshmallows,1
oil,1
cold water,1
almond extract,1
rice krispies,1
condensed milk,1
maraschino cherries,1
rind,1
semi-sweet chocolate pieces,1
chocolate instant pudding,1
smooth,1
crisco,1
flour +,1
chocolate flavor,1
vanilla pudding mix,1
butterscotch chips,1
biscuit mix,1
milk chocolate chips,1
oleo,1
white vinegar,1
cashews,1
vanilla milk,1
yogurt,1
whole wheat flour,1
orange,1
