Ingredient,Count
sugar,342
butter,311
salt,305
cinnamon,302
flour,300
baking soda,272
eggs,270
nutmeg,131
raisins,77
cloves,66
vanilla,61
walnuts,57
nuts,55
baking powder,45
apples,42
brown sugar,41
allspice,34
cream of tartar,30
ginger,29
pumpkin,28
applesauce,25
buttermilk,24
ground cloves,23
shortening,22
water,20
oats,18
molasses,17
boiling water,17
vanilla extract,16
pecans,14
oatmeal,12
dates,11
bananas,11
milk,10
mace,9
orange juice,9
lemon juice,7
all-purpose,7
sour milk,7
light brown sugar,6
almond extract,6
candied pineapple,6
almonds,6
candied cherries,6
butterscotch,4
confectioners sugar,4
currants,4
cocoa,4
tomato soup,4
carrots,4
cold water,4
egg yolks,4
powdered sugar,4
cream,4
persimmon pulp,4
gumdrops,4
orange rind,4
chocolate chips,4
egg,3
butterscotch morsels,3
nutmeats,3
peanut butter,3
golden raisins,3
rhubarb,3
yeast,3
sour cream,3
seeded raisins,3
lemon rind,3
candied orange peel,3
egg whites,3
poppy seed,3
hot water,3
orange,3
pineapple,3
peeled apples,3
rolled oats,3
vegetable oil,3
cream cheese,3
light molasses,3
cake flour,3
strawberry,2
can applesauce,2
margarine,2
tart apples,2
ground allspice,2
butterscotch flavored,2
wesson oil,2
syrup,2
ground ginger,2
potatoes,2
candied lemon peel,2
yogurt,2
prunes,2
lard,2
mixed candied fruit,2
dark molasses,2
semi-sweet chocolate chips,2
persimmons,2
candied citron,2
red cherries,2
whipped cream,2
blackberries,2
flaked coconut,2
cranberry sauce,2
regular oats,2
cottage cheese,2
corn syrup,2
cornstarch,2
candied fruit,2
rum,2
all-purpose flour,2
cherries,2
oil,2
cold coffee,2
butterscotch chips,2
whiskey,1
black walnut flavoring,1
green cherries,1
chocolate morsels,1
cream of tarter,1
tomato sauce,1
ground anise,1
cooking oats,1
brandy,1
red and,1
raisin liquid,1
nut meats,1
fruit cocktail,1
vegetable shortening,1
mashed sweet potatoes,1
black coffee,1
dish pie shell,1
tea,1
squash,1
cookies,1
mixed peel,1
pumpkin pie spice,1
orange extract,1
corn niblets,1
zwieback,1
lemon,1
coffee,1
vanilla milk,1
mixed dried fruit,1
solid shortening,1
peaches,1
carnation milk,1
bread,1
fresh apricots,1
hot milk,1
white karo syrup,1
plums,1
freshly grated nutmeg,1
mango,1
sweetened applesauce,1
corn,1
corn oil,1
chopped walnut meats,1
solid pack pumpkin,1
lemon flavoring,1
crisco,1
cooking oil,1
chopped walnut,1
pie crusts,1
pistachio nuts,1
granulated sugar,1
crust,1
strawberry preserves,1
granola cereal,1
vinegar,1
salad oil,1
fresh figs,1
vanilla flavoring,1
fresh blueberries,1
raspberry,1
zucchini,1
baking cocoa,1
candied red cherries,1
dark rum,1
yams,1
frozen cherries,1
pineapple rings,1
topping,1
soft crisco,1
black ground pepper,1
cold milk,1
walnut halves,1
ground nutmeg,1
yellow raisins,1
light cream,1
graham crackers,1
fresh peaches,1
raspberry jelly,1
apple,1
egg substitute,1
pinto beans,1
warm milk,1
warm water,1
active dry yeast,1
shell,1
hot mashed potatoes,1
raspberry jam,1
germ,1
honey,1
grated rind,1
egg yolk,1
sour cherries,1
glace cherries,1
golden delicious apples,1
blackberry,1
jar applesauce,1
apple butter,1
black walnuts,1
cardamon,1
dried apples,1
frozen cranberries,1
chocolate bits,1
white raisins,1
golden seedless raisins,1
pecan halves,1
sweet potatoes,1
low-fat sour cream,1
white,1
unsweetened applesauce,1
blackberry jam,1
white sugar,1
oleo,1
hot applesauce,1
potato,1
fresh raspberries,1
