Ingredient,Count
baking soda,112
salt,112
egg,111
vanilla,110
flour,110
brown sugar,106
nuts,62
white sugar,32
shortening,31
chocolate chips,22
oleo,19
buttermilk,18
margarine,16
coconut,16
vegetable oil,16
oatmeal,13
rhubarb,13
peanut butter,12
raisins,12
cream of tartar,11
oil,11
oats,11
walnuts,11
sugar,11
sour milk,9
water,8
rice krispies,7
cinnamon,6
fresh rhubarb,6
pineapple,4
ground cinnamon,4
salad oil,4
liquid shortening,3
corn flakes,3
semi-sweet chocolate chips,3
granulated sugar,3
dates,3
crisco,3
rolled oats,3
pecans,3
ground cloves,2
chocolate bits,2
light brown sugar,2
whole wheat flour,2
nutmeg,2
nonfat plain yogurt,2
honey,2
orange juice,2
carrots,2
semi-sweet chocolate pieces,2
+,2
cooking oil,2
kellogg,1
cocoa,1
butter flavor,1
black walnuts,1
powdered sugar,1
gumdrops,1
unsweetened applesauce,1
semi-sweet chocolate,1
wesson oil,1
marshmallows,1
milk,1
corn oil,1
baking powder,1
low-fat margarine,1
ground ginger,1
sugar substitute,1
cooking oats,1
crunchy style peanut butter,1
orange marmalade,1
butterscotch chips,1
lemon,1
nut meats,1
bran,1
orange rind,1
granulated sugar substitute,1
egg yolk,1
chocolate morsels,1
pumpkin,1
cereal,1
shredded apples,1
chocolate,1
sour cream,1
mixed candied fruit,1
ground nutmeg,1
extra sugar,1
unsweetened chocolate,1
unsalted butter,1
chocolate pieces,1
boiling water,1
nonfat powdered milk,1
germ,1
carob chips,1
fruit cocktail,1
crisco oil,1
sour cram,1
nutmeats,1
cake flour,1
molasses,1
ground nuts,1
pecan chips,1
applesauce,1
sunflower seeds,1
