Ingredient,Count
sugar,112
flour,108
cinnamon,105
salt,105
eggs,102
brown sugar,100
baking soda,95
vanilla,63
baking powder,51
shortening,49
nuts,43
raisins,34
nutmeg,34
walnuts,21
cloves,15
sour cream,15
butter,15
vegetable oil,13
buttermilk,12
oleo,12
oatmeal,11
apples,11
oats,10
pumpkin,8
zucchini,7
ginger,6
rolled oats,6
ground cloves,6
cooking oil,4
allspice,4
pecans,4
molasses,4
applesauce,3
apple,3
sour milk,3
wesson oil,3
almond extract,3
fruit cocktail,3
soda,3
dates,3
white sugar,3
boiling water,3
ground nutmeg,3
cooking oats,3
chocolate chips,3
vinegar,3
carrots,3
margarine,3
coconut,2
water,2
salad oil,2
lemon juice,2
cocoa,2
lard,2
whole wheat flour,2
apple juice,2
cream of tartar,2
orange juice,2
cold water,2
fresh rhubarb,1
cream-style,1
fruit,1
apricots,1
ground mace,1
canned applesauce,1
blackberry jam,1
dark molasses,1
cold coffee,1
golden raisins,1
mincemeat,1
ground almonds,1
bread flour,1
egg,1
maraschino cherries,1
granulated sugar,1
vanilla extract,1
caramel frosting,1
cornflakes,1
flaked coconut,1
blueberries,1
butternut squash,1
crispy rice cereal,1
rhubarb,1
white raisins,1
orange,1
gumdrops,1
white,1
persimmon pulp,1
pineapple,1
oil,1
pumpkin pie spice,1
carrot,1
pie filling,1
suet,1
sweet milk,1
cranberries,1
venison,1
pork,1
peck apples,1
mixed candied fruit,1
currants,1
fruit jam,1
lemon,1
meat,1
seeded raisins,1
fresh blueberries,1
powdered sugar,1
crisco,1
milk,1
ground pecans,1
semi-sweet chocolate chips,1
mace,1
tart apples,1
coffee,1
ground ginger,1
