Ingredient,Count
butter,128
cinnamon,125
flour,120
salt,120
egg,120
brown sugar,104
baking soda,100
vanilla,67
raisins,59
nutmeg,43
nuts,41
cloves,31
milk,30
oats,29
ginger,23
walnuts,22
molasses,18
soda,17
apples,15
sour cream,12
white sugar,11
sugar,10
allspice,10
applesauce,9
honey,9
shortening,7
buttermilk,7
oatmeal,6
dates,6
ground cloves,5
pecans,5
apple,4
chocolate chips,4
rolled oats,4
pumpkin,4
water,4
cooking oats,4
semi-sweet chocolate chips,3
coconut,3
light brown sugar,3
baking powder,3
persimmon pulp,2
whole wheat flour,2
apple juice,2
cocoa,2
bran cereal,2
ground ginger,2
cold water,2
zucchini,2
candied pineapple,2
confectioners sugar,2
oil,2
vinegar,2
hazelnuts,2
light molasses,2
hot water,2
pecan halves,2
all-purpose,2
dark molasses,2
blueberries,1
warm water,1
plain yogurt,1
carrots,1
sweet applesauce,1
yeast,1
apple butter,1
almonds,1
red,1
unsweetened applesauce,1
liquid sucaryl,1
whole wheat pastry flour,1
cranberries,1
all-purpose flour,1
peeled apples,1
flaked coconut,1
yogurt,1
yellow cornmeal,1
boiling water,1
sweetener,1
lemon rind,1
minute oats,1
light,1
cottage cheese,1
prunes,1
vanilla ice cream,1
double acting baking powder,1
ground zucchini,1
nonfat dry milk,1
cane syrup,1
milk chocolate chips,1
regular marshmallows,1
powdered sugar,1
unpared apples,1
sunflower nuts,1
unprocessed bran,1
broken walnut meats,1
mashed banana,1
apple juice concentrate,1
fruit cocktail,1
cider,1
orange rind,1
orange juice,1
broken walnut pieces,1
rhubarb,1
sour milk,1
sesame seed,1
light cream,1
semi-sweet chocolate bits,1
white chocolate chips,1
cereal,1
iodized salt,1
granola,1
granulated sugar,1
candied green cherries,1
candied red cherries,1
white raisins,1
currants,1
mace,1
cream,1
unpeeled apples,1
apricots,1
almond extract,1
vanilla extract,1
packets,1
mixed nuts,1
apple sauce,1
