Ingredient,Count
butter,380
salt,374
flour,370
eggs,365
soda,343
brown sugar,338
vanilla,300
white sugar,164
nuts,112
cinnamon,77
sugar,76
oats,60
oatmeal,57
boiling water,55
pecans,51
chocolate chips,49
shortening,40
cream of tartar,38
coconut,38
nutmeg,31
raisins,30
peanut butter,24
powdered sugar,21
milk,19
water,14
walnuts,13
dates,13
cocoa,13
semi-sweet chocolate chips,11
buttermilk,10
rolled oats,10
light brown sugar,10
oil,10
crisco,9
sour cream,9
sour milk,8
condensed milk,7
rice krispies,7
bananas,5
chocolate,5
vanilla extract,4
cooking oats,4
fruit cocktail,4
semi-sweet chocolate pieces,4
allspice,4
vegetable oil,4
cloves,4
butterscotch chips,3
unsweetened chocolate,3
+,3
zucchini,3
sweet milk,3
black walnuts,3
nut meats,3
crunchy peanut butter,3
margarine,3
apple,3
almond extract,3
lard,3
granulated sugar,3
candied cherries,3
coffee,3
candied pineapple,3
orange slice candy,2
angel,2
ground cinnamon,2
cream,2
maple flavoring,2
chocolate candies,2
salad oil,2
cold water,2
walnut halves,2
butterscotch morsels,2
mashed sweet potatoes,2
peanuts,2
cornflakes,2
frosting,2
pineapple,2
all-purpose,2
honey,2
candied fruit,1
cardamon,1
white karo syrup,1
butterscotch,1
cake flour,1
cream cheese,1
anise,1
orange,1
black molasses,1
lemon rind,1
gumdrops,1
lemon juice,1
oleo,1
blueberries,1
almonds,1
apples,1
rich cream,1
bits,1
baking pwd.,1
semi-sweet chocolate bits,1
ginger,1
semi-sweet chocolate,1
vanilla flavor,1
filling,1
chunky peanut butter,1
chocolate mint,1
almond flavoring,1
corn oil,1
vanilla flavoring,1
light corn syrup,1
cocktail,1
orange peeling,1
apricots,1
chocolate kisses,1
cherries,1
granular sugar,1
crisco oil,1
bread flour,1
regular oats,1
cook oatmeal,1
pecan,1
orange slices candy,1
chunky-style peanut butter,1
flaked coconut,1
hot milk,1
mincemeat,1
molasses,1
milk chocolate chips,1
griffin's vanilla,1
xxxx sugar,1
maple flavor,1
potato chips,1
chopped nutmeats,1
plumped raisins,1
fruit juice,1
waffle syrup,1
nutmeats,1
instant vanilla pudding,1
yellow raisins,1
cooking oil,1
applesauce,1
plain yogurt,1
semi-sweet chocolate morsels,1
sweet potatoes,1
orange slices,1
chunk style peanut butter,1
carnation milk,1
poppy seed,1
rhubarb,1
