Ingredient,Count
sugar,194
salt,159
cinnamon,152
egg,147
flour,113
shortening,45
nutmeg,44
apples,43
milk,39
butter,38
cloves,32
water,26
allspice,21
pecans,20
cold water,17
raisins,15
ginger,14
lemon juice,13
corn flakes,13
walnuts,13
oleo,12
egg yolk,12
molasses,11
yeast,10
pecan halves,8
warm water,7
pumpkin,6
ground cloves,6
brown sugar,6
peaches,5
vinegar,5
baking soda,5
confectioners sugar,5
green peppers,4
tomatoes,4
lard,4
peeled apples,4
crisco,4
oil,4
margarine,3
active dry yeast,3
sour cream,3
cornflakes,3
vanilla,3
celery,3
boiling water,3
onions,3
applesauce,3
lemon peel,3
powdered sugar,3
nuts,3
cocoa,2
dark molasses,2
sour milk,2
oatmeal,2
walnut halves,2
egg whites,2
bananas,2
bread,2
pineapple,2
apple,2
cornstarch,2
mace,2
pastry,2
cake yeast,2
onion,2
liquid sweetener,1
white vinegar,1
light cream,1
ground round,1
ground chuck,1
lemon,1
ground blanched almonds,1
nonfat sour cream,1
mixed,1
fruit,1
+,1
vanilla nonfat yogurt,1
rice,1
honey,1
rice krispies,1
oats,1
apricots,1
parsley,1
rolled oats,1
cream,1
lite margarine,1
apple pie mix,1
vanilla extract,1
low-fat milk,1
your choice,1
mashed cooked pumpkin,1
egg yolks,1
blueberries,1
almond extract,1
syrup,1
warm milk,1
pet milk,1
unsweetened applesauce,1
grated sharp,1
pepper,1
clove garlic,1
vegetable shortening,1
tart apples,1
buttermilk,1
crust,1
red pepper,1
horseradish,1
recipe plain pastry,1
hamburger,1
bell peppers,1
currants,1
butterscotch,1
all-purpose,1
pared,1
whole almonds,1
pecan,1
pistachio nuts,1
potatoes,1
hunk butter,1
chili powder,1
double-acting baking powder,1
apple slices,1
hot peppers,1
zucchini,1
hot coffee,1
blanched almonds,1
krispies,1
thin,1
nutmeats,1
spry,1
walnut pieces,1
ground pepper,1
cream of tartar,1
very hot water,1
white flour,1
corn flake crumbs,1
orange,1
tapioca,1
hot milk,1
cornflakes cereal,1
refrigerated pie crust,1
ground ginger,1
handful of raisins,1
