Ingredient,Count
flour,52
cinnamon,51
nuts,49
salt,49
brown sugar,44
egg,42
baking soda,41
vanilla,35
raisins,33
margarine,31
nutmeg,27
shortening,13
cloves,12
oats,11
apples,11
baking powder,11
milk,9
sour cream,8
white sugar,7
applesauce,6
soda,5
water,4
sugar,4
ginger,4
cold coffee,3
oil,3
bananas,3
pumpkin,3
oatmeal,3
oleo,2
cooking oats,2
unsweetened applesauce,2
egg whites,2
vegetable oil,2
peeled apples,2
rolled oats,2
n,2
carrots,1
canola oil,1
chocolate chips,1
coconut,1
cooking oil,1
butterscotch chips,1
dates,1
pepper,1
sour milk,1
egg substitute,1
zucchini,1
honey,1
semi-sweet chocolate bits,1
hot coffee,1
ground cloves,1
orange juice,1
egg beaters,1
buttermilk,1
apple juice concentrate,1
bran flakes,1
walnuts,1
cocoa powder,1
powdered sugar,1
apple juice,1
choice,1
unpeeled apples,1
orange extract,1
allspice,1
flaked coconut,1
butter flavor,1
cooking oatmeal,1
solid pack pumpkin,1
semi-sweet chocolate,1
packets sugar,1
ground cinnamon,1
regular oats,1
whole wheat flour,1
vegetable cooking spray,1
vegetable shortening,1
butterscotch,1
