Ingredient,Count
butter,113
water,110
flour,106
salt,101
brown sugar,100
eggs,88
cinnamon,47
baking powder,32
sugar,29
nuts,27
baking soda,24
white sugar,23
soda,18
shortening,18
yeast,17
raisins,15
milk,12
chocolate chips,11
oats,11
dates,10
cloves,8
walnuts,8
apples,8
vanilla,6
nutmeg,6
vanilla extract,6
confectioners sugar,5
ginger,4
molasses,4
cream,4
rolled oats,4
orange juice,4
semi-sweet chocolate pieces,4
sweet potatoes,3
honey,3
bananas,3
oil,3
carrots,3
lemon juice,3
dark molasses,3
warm water,3
powdered sugar,3
gumdrops,3
margarine,3
potatoes,2
andes mints,2
pumpkin,2
allspice,2
lard,2
semi-sweet chocolate,2
pumpkin pie spice,2
orange extract,2
onion,2
instant coffee,2
coconut,2
yellow cake mix,2
crunchy peanut butter,2
sour cream,2
sunflower seeds,2
sesame seed,2
whole wheat flour,2
ground cinnamon,2
oatmeal,2
orange rind,2
vanilla flavoring,2
pepper,1
cold,1
broken nutmeats,1
beer,1
cornflake cereal,1
all-purpose,1
raw wheat germ,1
flaked coconut,1
pared,1
nonfat milk,1
chives,1
bacon fat,1
bread,1
pecans,1
heavy whipping cream,1
paprika,1
fryer,1
vegetable shortening,1
hot coffee,1
white potatoes,1
boiling water,1
bread crumbs,1
syrup,1
chocolate,1
chocolate creme,1
cooking oats,1
semi-sweet chocolate chips,1
lemon,1
cayenne pepper,1
grated cheese,1
cornstarch,1
cake flour,1
raisin bread,1
black pepper,1
chocolate bits,1
mayonnaise,1
oleo,1
egg whites,1
pineapple,1
hot mashed potatoes,1
ground walnuts,1
ground dates,1
almond extract,1
vanilla wafers,1
almonds,1
figs,1
tomato soup,1
active dry yeast,1
condensed milk,1
mixed fruit,1
crisco oil,1
vanilla instant pudding,1
walnut halves,1
dark raisins,1
unsweetened applesauce,1
plain yogurt,1
nutritional yeast,1
hot milk,1
coconut milk,1
frozen raspberries,1
apple fiber,1
lemon extract,1
rice krispies,1
i,1
all-purpose flour,1
ground cloves,1
prepared mincemeat,1
crisco,1
cake yeast,1
cherries,1
generous,1
anise seed,1
tart apples,1
chocolate sprinkles,1
peppermint,1
chips,1
vegetable cooking spray,1
regular oats,1
yellow cake,1
yams,1
