Ingredient,Count
sugar,611
butter,607
brown sugar,604
eggs,604
baking soda,590
salt,564
flour,515
vanilla,474
chocolate chips,254
nuts,229
baking powder,160
oatmeal,97
peanut butter,81
vanilla extract,80
oats,76
semi-sweet chocolate chips,66
all-purpose,61
walnuts,53
milk,39
raisins,37
shortening,34
cocoa,28
water,27
coconut,27
cinnamon,24
rolled oats,22
ground cinnamon,17
blended oatmeal,16
semi-sweet chocolate pieces,15
semi-sweet chocolate morsels,11
butterscotch chips,11
chocolate,10
milk chocolate chips,9
boiling water,9
milk chocolate,9
chunky peanut butter,9
lemon juice,8
crunchy peanut butter,8
rice krispies,8
white chocolate chips,7
corn syrup,7
cooking oats,7
morsels,7
sour cream,7
flaked coconut,6
chips,6
chocolate kisses,6
bar,6
almonds,6
kisses,5
butterscotch morsels,5
powdered sugar,5
peanuts,5
chocolate bits,4
light corn syrup,4
vanilla flavoring,4
crisco,4
chocolate morsels,4
regular,4
toffee bits,4
whole wheat flour,4
dates,4
amounts,4
baking cocoa,4
vegetable shortening,4
syrup,3
almond extract,3
apples,3
cornflakes,3
white chocolate,3
ground allspice,3
chunky style peanut butter,3
bananas,3
snickers,3
pecan,3
pumpkin,3
shredded coconut,3
solid shortening,2
semi-sweet,2
butterscotch,2
buttermilk,2
oil,2
whiskey,2
prunes,2
fruit cocktail,2
nutmeg,2
chocolate pieces,2
miniatures,2
+,2
apple,2
ground cloves,2
red raspberry preserves,2
regular oats,2
black walnuts,2
lemon rind,2
mandarin oranges,2
confectioners sugar,2
old-fashioned oats,2
chocolate bar,2
cream cheese,2
frangelico,2
semi-sweet chocolate,2
chocolate covered raisins,2
ground oatmeal,2
candy bar,2
pineapple,2
walnut halves,2
tia maria,2
raspberry preserves,2
sweet potatoes,2
sunflower seeds,2
candy kisses,2
corn flakes,2
pecan pieces,2
pecans,2
apricots,1
chocolate glaze,1
chocolate bars,1
chocolate covered peanuts,1
chunk-style peanut butter,1
fresh raspberries,1
liquid oil,1
candy,1
shell,1
sunflower nuts,1
root beer,1
baking chips,1
cloves,1
margarine,1
cornstarch,1
mein noodles,1
sunflower kernels,1
shredded wheat,1
double-acting baking powder,1
cooking oil,1
semi-sweet real chocolate morsels,1
sesame seed,1
noodles,1
graham cracker crumbs,1
orange rind,1
butterscotch flavored,1
hot water,1
zucchini,1
allspice,1
gold medal flour,1
ground nutmeg,1
sherry,1
oleo,1
egg,1
california walnuts,1
granulated sugar,1
semi-sweet morsels,1
butterscotch flavored chips,1
mace,1
chocolate chunks,1
soda,1
unsweetened cocoa,1
lemon extract,1
potato chips,1
extra crunchy peanut butter,1
ground pecans,1
instant oats,1
grape nuts,1
cream,1
orange juice,1
milk chocolate morsels,1
regular rolled oats,1
maple syrup,1
garlic,1
cold water,1
old-fashioned oatmeal,1
's,1
chocolate instant pudding,1
maple flavoring,1
vanilla instant pudding,1
waffle syrup,1
germ,1
honey,1
cream sherry,1
butterscotch bits,1
cooking,1
walnut pieces,1
banana,1
soft shortening,1
unbaked pie shell,1
semi-sweet chocolate mini chips,1
vinegar,1
butterscotch flavored morsels,1
cake flour,1
semi-sweet chips,1
ginger,1
light molasses,1
andes mints,1
milk chocolate kisses,1
decorator icing,1
white,1
vanilla pudding,1
white karo syrup,1
holiday,1
cream cheese frosting,1
crisco oil,1
candies,1
raisin bran,1
white chips,1
lite cream,1
egg yolks,1
golden raisins,1
warm water,1
yeast,1
cream of tartar,1
crisp rice cereal,1
toffee,1
canola oil,1
vodka,1
whole almonds,1
grated coconut,1
wheaties,1
light cream,1
dr. pepper,1
potato flakes,1
maple,1
candy-coated chocolate,1
pastry shell,1
instant vanilla pudding,1
crust,1
carnation,1
pumpkin pie spice,1
potatoes,1
mint,1
instant coffee,1
pecan halves,1
