Ingredient,Count
eggs,101
cinnamon,101
soda,99
flour,97
brown sugar,94
nutmeg,74
cloves,56
butter,50
raisins,40
allspice,27
pecans,25
buttermilk,21
candied cherries,20
white sugar,18
candied pineapple,18
shortening,17
milk,16
oleo,16
molasses,15
ginger,14
white raisins,13
nuts,13
boiling water,12
dates,12
margarine,11
blackberry jam,10
applesauce,8
walnuts,7
bourbon,6
sugar,6
oatmeal,6
baking powder,6
pecan halves,6
whiskey,6
apples,5
oats,5
sour milk,5
fruit juice,4
citron,4
ground cloves,4
sour cream,4
cocoa,4
cherries,4
pineapple,4
currants,3
sweet milk,3
nutmeats,3
light brown sugar,3
mincemeat,2
all-purpose,2
cooking oats,2
apple juice,2
vanilla extract,2
blackberry,2
cooking sherry,2
black walnuts,2
mace,2
dark raisins,2
chocolate chips,2
brandy,2
crisco,2
water,2
coffee,2
pecan pieces,2
seeded raisins,2
rolled oats,2
sherry flavoring,1
raisin juice,1
nut meats,1
butterscotch chips,1
citron peel,1
orange slice candy,1
coconut,1
warm water,1
cold coffee,1
lard,1
blackberry jelly,1
maraschino cherries,1
rum,1
red cherries,1
green cherries,1
cushaw,1
cream,1
orange juice,1
candied mixed fruit,1
oil,1
fresh grapes,1
realemon juice,1
honey,1
blackberry wine,1
cherry,1
red,1
crisco oil,1
regular sugar,1
crackers,1
candied fruit,1
walnut meats,1
lemon rind,1
wine,1
bourbon whiskey,1
figs,1
candied green cherries,1
sherry,1
white karo,1
moist coconut,1
liquor,1
orange peel,1
lemon peel,1
blackberries,1
white flour,1
candied red cherries,1
apple filling,1
