Ingredient,Count
egg,34
butter,33
vanilla,33
brown sugar,32
nuts,31
flour,31
oil,13
white sugar,12
coconut,11
oatmeal,10
soda,9
chocolate chips,8
rice krispies,6
cream of tartar,6
salt,4
oats,3
confectioners sugar,2
pineapple,2
cinnamon,2
condensed milk,2
baking soda,2
corn flakes,2
rolled oats,2
raisins,2
water,2
honey,2
oleo,2
cream cheese,2
pear,1
peanut butter,1
bars,1
yellow cake mix,1
old-fashioned,1
whole wheat flour,1
cocoa,1
cornflakes,1
lemon cake mix,1
red maraschino cherries,1
sherry,1
apricot halves,1
peaches,1
apple rings,1
cloves,1
quick-cooking,1
granulated sugar,1
log cabin syrup,1
butterscotch,1
corn oil,1
rum flavoring,1
chocolate bits,1
chocolate bars,1
butterscotch chips,1
peanuts,1
