Ingredient,Count
sugar,139
egg,133
cinnamon,131
flour,130
baking soda,130
salt,112
water,54
molasses,53
cloves,51
ginger,47
nutmeg,46
raisins,42
oil,39
shortening,32
margarine,31
walnuts,22
ground cloves,13
allspice,12
applesauce,12
butter,12
pecans,12
pumpkin,11
sour cream,5
persimmon pulp,5
cream cheese,5
bananas,5
apples,5
vegetable oil,4
honey,4
eggs,4
ground ginger,4
confectioners sugar,4
hot water,3
lemon juice,3
unsweetened applesauce,3
sour milk,3
oatmeal,3
buttermilk,3
cooking oil,3
chocolate chips,2
milk,2
mashed ripe bananas,2
rhubarb,2
oleo,2
oats,2
salad oil,2
dark molasses,2
orange rind,2
whole wheat flour,2
vegetable shortening,2
crisco,2
lard,1
cooking oats,1
bran cereal,1
golden raisins,1
rabbit molasses,1
ground nuts,1
apple,1
fruit,1
almond halves,1
light molasses,1
white raisins,1
yeast,1
warm water,1
blueberries,1
brown sugar,1
black walnuts,1
nuts,1
dates,1
cocoa,1
mace,1
boiling water,1
vanilla,1
sourdough starter,1
grandma's molasses,1
all-purpose,1
powdered sugar,1
corn syrup,1
semi-sweet chocolate chips,1
cake,1
vinegar,1
extra sugar,1
apple pie spice,1
thawed strawberries,1
tomato soup,1
hot coffee,1
powdered cloves,1
coffee,1
quick-cooking,1
very ripe bananas,1
wesson oil,1
liquid sweetener,1
pumpkin pie spice,1
