Ingredient,Count
sugar,155
flour,138
water,132
cinnamon,129
salt,106
baking powder,95
milk,80
shortening,78
apples,67
nutmeg,45
margarine,32
butter,29
raisins,23
oleo,22
soda,21
cloves,14
egg yolks,9
lemon juice,8
brown sugar,8
egg whites,7
crisco,6
cornstarch,6
allspice,6
lard,6
egg,5
apple pie filling,5
walnuts,5
coloring,4
yeast,4
confectioners sugar,3
vanilla,3
carrots,3
red food coloring,3
wesson oil,3
baking apples,2
almond,2
pecans,2
molasses,2
cooking apples,2
fruit,2
baking soda,2
heavy cream,2
rhubarb,2
cocoa,2
eggs,2
ground cloves,2
blueberries,2
salad oil,2
peaches,2
granulated sugar,2
cherries,2
whipped cream,2
oil,2
sour cream,2
light margarine,2
egg yolk,2
applesauce,1
ginger,1
cheese,1
green apples,1
new,1
anise,1
lite salt,1
white sugar,1
cassia,1
fresh cherries,1
boiling water,1
drops of red food coloring,1
rum,1
active dry yeast,1
cornmeal,1
+,1
lemon,1
red wine,1
zucchini,1
ground nuts,1
cinnamon candies,1
pumpkin mix,1
drops red food coloring,1
cold water,1
red hots,1
sweet milk,1
coconut,1
vegetable shortening,1
vegetable oil,1
black walnuts,1
oleomargarine,1
cider vinegar,1
powdered sugar,1
almonds,1
figs,1
mace,1
honey,1
cream of tartar,1
almond flavoring,1
carrot,1
biscuit dough,1
fresh blackberries,1
pumpkin,1
grated apples,1
cranberries,1
tapioca,1
preserves,1
sweet potatoes,1
buttermilk,1
ground cinnamon,1
ground nutmeg,1
fresh pears,1
vegetable cooking spray,1
rolled oats,1
seeded raisins,1
